Start Year,End Year,Scaling,Regularization,Alpha,Features Removed,MSE,R-Squared,Accuracy,Model Name
2019,2023,False,ridge,0.01,True,97.59221482091553,0.0023857668663651577,63.86,model_2019_2023_unscaled_ridge_0.01_features_removed
2014,2023,False,ridge,0.01,True,97.59221482091553,0.0023857668663651577,63.86,model_2014_2023_unscaled_ridge_0.01_features_removed
2023,2023,False,ridge,10.0,False,87.31641179848168,0.1074278275560322,63.51,model_2023_2023_unscaled_ridge_10_features_included
2022,2023,False,ridge,10.0,False,87.31641179848168,0.1074278275560322,63.51,model_2022_2023_unscaled_ridge_10_features_included
2019,2023,False,ridge,10.0,False,87.31641179848168,0.1074278275560322,63.51,model_2019_2023_unscaled_ridge_10_features_included
2014,2023,False,ridge,10.0,False,87.31641179848168,0.1074278275560322,63.51,model_2014_2023_unscaled_ridge_10_features_included
2023,2023,False,lasso,0.01,True,89.87198262517582,0.08130408566566205,63.51,model_2023_2023_unscaled_lasso_0.01_features_removed
2022,2023,False,lasso,0.01,True,89.87198262517582,0.08130408566566205,63.51,model_2022_2023_unscaled_lasso_0.01_features_removed
2019,2023,False,lasso,0.01,True,89.87198262517582,0.08130408566566205,63.51,model_2019_2023_unscaled_lasso_0.01_features_removed
2014,2023,False,lasso,0.01,True,89.87198262517582,0.08130408566566205,63.51,model_2014_2023_unscaled_lasso_0.01_features_removed
2023,2023,False,ridge,0.01,False,95.61438956536564,0.022603635978245107,63.51,model_2023_2023_unscaled_ridge_0.01_features_included
2022,2023,False,ridge,0.01,False,95.61438956536564,0.022603635978245107,63.51,model_2022_2023_unscaled_ridge_0.01_features_included
2019,2023,False,ridge,0.01,False,95.61438956536564,0.022603635978245107,63.51,model_2019_2023_unscaled_ridge_0.01_features_included
2014,2023,False,ridge,0.01,False,95.61438956536564,0.022603635978245107,63.51,model_2014_2023_unscaled_ridge_0.01_features_included
2023,2023,True,lasso,0.1,False,82.18424941264813,0.15989019099614687,63.16,model_2023_2023_scaled_lasso_0.1_features_included
2022,2023,True,lasso,0.1,False,82.18424941264813,0.15989019099614687,63.16,model_2022_2023_scaled_lasso_0.1_features_included
2019,2023,True,lasso,0.1,False,82.18424941264813,0.15989019099614687,63.16,model_2019_2023_scaled_lasso_0.1_features_included
2014,2023,True,lasso,0.1,False,82.18424941264813,0.15989019099614687,63.16,model_2014_2023_scaled_lasso_0.1_features_included
2023,2023,False,elasticnet,0.01,True,89.68955731542492,0.08316888692901336,63.16,model_2023_2023_unscaled_elasticnet_0.01_features_removed
2022,2023,False,elasticnet,0.01,True,89.68955731542492,0.08316888692901336,63.16,model_2022_2023_unscaled_elasticnet_0.01_features_removed
2019,2023,False,elasticnet,0.01,True,89.68955731542492,0.08316888692901336,63.16,model_2019_2023_unscaled_elasticnet_0.01_features_removed
2014,2023,False,elasticnet,0.01,True,89.68955731542492,0.08316888692901336,63.16,model_2014_2023_unscaled_elasticnet_0.01_features_removed
2023,2023,False,,,False,96.05922796119387,0.01805637658940018,63.16,model_2023_2023_unscaled_none_0_features_included
2022,2023,False,,,False,96.05922796119387,0.01805637658940018,63.16,model_2022_2023_unscaled_none_0_features_included
2019,2023,False,,,False,96.05922796119387,0.01805637658940018,63.16,model_2019_2023_unscaled_none_0_features_included
2014,2023,False,,,False,96.05922796119387,0.01805637658940018,63.16,model_2014_2023_unscaled_none_0_features_included
2023,2023,False,lasso,1.0,True,84.6774552587686,0.13440396094402696,62.81,model_2023_2023_unscaled_lasso_1_features_removed
2022,2023,False,lasso,1.0,True,84.6774552587686,0.13440396094402696,62.81,model_2022_2023_unscaled_lasso_1_features_removed
2019,2023,False,lasso,1.0,True,84.6774552587686,0.13440396094402696,62.81,model_2019_2023_unscaled_lasso_1_features_removed
2014,2023,False,lasso,1.0,True,84.6774552587686,0.13440396094402696,62.81,model_2014_2023_unscaled_lasso_1_features_removed
2023,2023,False,elasticnet,0.1,False,86.17920179312117,0.11905269834609944,62.81,model_2023_2023_unscaled_elasticnet_0.1_features_included
2022,2023,False,elasticnet,0.1,False,86.17920179312117,0.11905269834609944,62.81,model_2022_2023_unscaled_elasticnet_0.1_features_included
2019,2023,False,elasticnet,0.1,False,86.17920179312117,0.11905269834609944,62.81,model_2019_2023_unscaled_elasticnet_0.1_features_included
2014,2023,False,elasticnet,0.1,False,86.17920179312117,0.11905269834609944,62.81,model_2014_2023_unscaled_elasticnet_0.1_features_included
2023,2023,False,lasso,0.1,False,86.2446537538597,0.11838363055478962,62.81,model_2023_2023_unscaled_lasso_0.1_features_included
2022,2023,False,lasso,0.1,False,86.2446537538597,0.11838363055478962,62.81,model_2022_2023_unscaled_lasso_0.1_features_included
2019,2023,False,lasso,0.1,False,86.2446537538597,0.11838363055478962,62.81,model_2019_2023_unscaled_lasso_0.1_features_included
2014,2023,False,lasso,0.1,False,86.2446537538597,0.11838363055478962,62.81,model_2014_2023_unscaled_lasso_0.1_features_included
2023,2023,True,lasso,1.0,True,82.43084694597677,0.15736940376372555,62.46,model_2023_2023_scaled_lasso_1_features_removed
2022,2023,True,lasso,1.0,True,82.43084694597677,0.15736940376372555,62.46,model_2022_2023_scaled_lasso_1_features_removed
2019,2023,True,lasso,1.0,True,82.43084694597677,0.15736940376372555,62.46,model_2019_2023_scaled_lasso_1_features_removed
2014,2023,True,lasso,1.0,True,82.43084694597677,0.15736940376372555,62.46,model_2014_2023_scaled_lasso_1_features_removed
2023,2023,True,lasso,0.1,True,84.94676569496839,0.1316509962246858,62.46,model_2023_2023_scaled_lasso_0.1_features_removed
2022,2023,True,lasso,0.1,True,84.94676569496839,0.1316509962246858,62.46,model_2022_2023_scaled_lasso_0.1_features_removed
2019,2023,True,lasso,0.1,True,84.94676569496839,0.1316509962246858,62.46,model_2019_2023_scaled_lasso_0.1_features_removed
2014,2023,True,lasso,0.1,True,84.94676569496839,0.1316509962246858,62.46,model_2014_2023_scaled_lasso_0.1_features_removed
2023,2023,False,elasticnet,0.1,True,88.16067247076859,0.09879756473543799,62.46,model_2023_2023_unscaled_elasticnet_0.1_features_removed
2022,2023,False,elasticnet,0.1,True,88.16067247076859,0.09879756473543799,62.46,model_2022_2023_unscaled_elasticnet_0.1_features_removed
2019,2023,False,elasticnet,0.1,True,88.16067247076859,0.09879756473543799,62.46,model_2019_2023_unscaled_elasticnet_0.1_features_removed
2014,2023,False,elasticnet,0.1,True,88.16067247076859,0.09879756473543799,62.46,model_2014_2023_unscaled_elasticnet_0.1_features_removed
2023,2023,False,lasso,0.1,True,88.26967579372891,0.09768330304311323,62.46,model_2023_2023_unscaled_lasso_0.1_features_removed
2022,2023,False,lasso,0.1,True,88.26967579372891,0.09768330304311323,62.46,model_2022_2023_unscaled_lasso_0.1_features_removed
2019,2023,False,lasso,0.1,True,88.26967579372891,0.09768330304311323,62.46,model_2019_2023_unscaled_lasso_0.1_features_removed
2014,2023,False,lasso,0.1,True,88.26967579372891,0.09768330304311323,62.46,model_2014_2023_unscaled_lasso_0.1_features_removed
2023,2023,True,lasso,1.0,False,79.58797907473146,0.18642997438892273,62.11,model_2023_2023_scaled_lasso_1_features_included
2022,2023,True,lasso,1.0,False,79.58797907473146,0.18642997438892273,62.11,model_2022_2023_scaled_lasso_1_features_included
2019,2023,True,lasso,1.0,False,79.58797907473146,0.18642997438892273,62.11,model_2019_2023_scaled_lasso_1_features_included
2014,2023,True,lasso,1.0,False,79.58797907473146,0.18642997438892273,62.11,model_2014_2023_scaled_lasso_1_features_included
2023,2023,False,ridge,10.0,True,89.23799431751081,0.08778488703416798,62.11,model_2023_2023_unscaled_ridge_10_features_removed
2022,2023,False,ridge,10.0,True,89.23799431751081,0.08778488703416798,62.11,model_2022_2023_unscaled_ridge_10_features_removed
2019,2023,False,ridge,10.0,True,89.23799431751081,0.08778488703416798,62.11,model_2019_2023_unscaled_ridge_10_features_removed
2014,2023,False,ridge,10.0,True,89.23799431751081,0.08778488703416798,62.11,model_2014_2023_unscaled_ridge_10_features_removed
2023,2023,False,ridge,1.0,True,91.39918813817931,0.06569257444534371,61.75,model_2023_2023_unscaled_ridge_1_features_removed
2022,2023,False,ridge,1.0,True,91.39918813817931,0.06569257444534371,61.75,model_2022_2023_unscaled_ridge_1_features_removed
2019,2023,False,ridge,1.0,True,91.39918813817931,0.06569257444534371,61.75,model_2019_2023_unscaled_ridge_1_features_removed
2014,2023,False,ridge,1.0,True,91.39918813817931,0.06569257444534371,61.75,model_2014_2023_unscaled_ridge_1_features_removed
