Start Year,End Year,Scaling,Regularization,Alpha,Features Removed,MSE,Accuracy,Model Name
2023,2023,False,ridge,0.2,False,92.04709344866235,67.96,model_2023_2023_unscaled_ridge_0.2_features_included
2019,2023,False,lasso,1.0,False,69.6314825477939,67.61,model_2019_2023_unscaled_lasso_1.0_features_included
2019,2023,False,lasso,0.8,False,69.71611582352676,67.61,model_2019_2023_unscaled_lasso_0.8_features_included
2019,2023,False,elasticnet,0.8,False,69.94175245112028,67.61,model_2019_2023_unscaled_elasticnet_0.8_features_included
2019,2023,False,lasso,0.4,False,69.94728585738541,67.61,model_2019_2023_unscaled_lasso_0.4_features_included
2023,2023,True,elasticnet,0.8,False,80.38860272061444,67.61,model_2023_2023_scaled_elasticnet_0.8_features_included
2023,2023,True,elasticnet,0.4,False,80.9830242730566,67.61,model_2023_2023_scaled_elasticnet_0.4_features_included
2023,2023,True,lasso,0.8,False,79.28263838868065,67.25,model_2023_2023_scaled_lasso_0.8_features_included
2019,2023,True,lasso,0.4,False,68.89161837581463,66.9,model_2019_2023_scaled_lasso_0.4_features_included
2023,2023,True,lasso,0.6,False,79.28188907099953,66.9,model_2023_2023_scaled_lasso_0.6_features_included
2023,2023,True,lasso,1.0,False,79.58797907473146,66.9,model_2023_2023_scaled_lasso_1.0_features_included
2023,2023,True,elasticnet,0.2,False,81.7957948202216,66.9,model_2023_2023_scaled_elasticnet_0.2_features_included
2019,2023,True,lasso,0.2,False,68.99026284839519,66.55,model_2019_2023_scaled_lasso_0.2_features_included
2023,2023,True,lasso,0.4,False,79.59737560879762,66.55,model_2023_2023_scaled_lasso_0.4_features_included
2019,2023,True,lasso,0.6,False,69.03259128659245,65.85,model_2019_2023_scaled_lasso_0.6_features_included
2022,2023,True,lasso,0.2,False,80.93400821976412,65.49,model_2022_2023_scaled_lasso_0.2_features_included
2023,2023,False,,,False,96.05922796119387,65.49,model_2023_2023_unscaled_none__features_included
2019,2023,True,lasso,0.8,False,69.39703243595775,64.79,model_2019_2023_scaled_lasso_0.8_features_included
2022,2023,True,lasso,0.4,False,80.6274398172297,64.44,model_2022_2023_scaled_lasso_0.4_features_included
2019,2023,True,lasso,1.0,False,69.91406432775628,64.08,model_2019_2023_scaled_lasso_1.0_features_included
2014,2023,True,lasso,0.4,False,78.00293906461808,64.08,model_2014_2023_scaled_lasso_0.4_features_included
2014,2023,True,lasso,0.2,False,78.14838850355746,64.08,model_2014_2023_scaled_lasso_0.2_features_included
2014,2023,True,lasso,0.6,False,78.18036550806512,64.08,model_2014_2023_scaled_lasso_0.6_features_included
2022,2023,True,lasso,0.6,False,80.73137882006749,64.08,model_2022_2023_scaled_lasso_0.6_features_included
2023,2023,True,lasso,0.2,False,80.82294767433599,64.08,model_2023_2023_scaled_lasso_0.2_features_included
2022,2023,True,lasso,1.0,False,81.73136795265303,64.08,model_2022_2023_scaled_lasso_1.0_features_included
2014,2023,True,lasso,0.8,False,78.55423365002616,63.73,model_2014_2023_scaled_lasso_0.8_features_included
2014,2023,True,lasso,1.0,False,79.15093831112574,63.73,model_2014_2023_scaled_lasso_1.0_features_included
2022,2023,True,lasso,0.8,False,81.04319286987158,63.73,model_2022_2023_scaled_lasso_0.8_features_included
2022,2023,True,,,False,84.77918973115787,63.73,model_2022_2023_scaled_none__features_included
2022,2023,True,ridge,1.0,False,84.46520012461491,63.03,model_2022_2023_scaled_ridge_1.0_features_included
2022,2023,True,ridge,0.8,False,84.50629610255807,63.03,model_2022_2023_scaled_ridge_0.8_features_included
2022,2023,True,ridge,0.6,False,84.55406341718961,63.03,model_2022_2023_scaled_ridge_0.6_features_included
2022,2023,True,ridge,0.4,False,84.6110060421147,63.03,model_2022_2023_scaled_ridge_0.4_features_included
2022,2023,True,ridge,0.2,False,84.68177741944723,63.03,model_2022_2023_scaled_ridge_0.2_features_included
2019,2023,True,ridge,1.0,False,71.4154330944683,57.04,model_2019_2023_scaled_ridge_1.0_features_included
2019,2023,True,ridge,0.8,False,71.4514860342195,56.69,model_2019_2023_scaled_ridge_0.8_features_included
2019,2023,True,ridge,0.6,False,71.49113612517972,56.34,model_2019_2023_scaled_ridge_0.6_features_included
2019,2023,True,ridge,0.4,False,71.53540317607558,56.34,model_2019_2023_scaled_ridge_0.4_features_included
2019,2023,True,ridge,0.2,False,71.5859844493504,55.63,model_2019_2023_scaled_ridge_0.2_features_included
2019,2023,True,,,False,72.89375476715588,53.87,model_2019_2023_scaled_none__features_included
2023,2023,True,ridge,0.2,False,90.95801704782016,46.83,model_2023_2023_scaled_ridge_0.2_features_included
2023,2023,True,,,False,97.02810485133588,46.13,model_2023_2023_scaled_none__features_included
2023,2023,True,ridge,0.8,False,88.4317537723159,45.07,model_2023_2023_scaled_ridge_0.8_features_included
2023,2023,True,ridge,1.0,False,88.13251329199232,44.72,model_2023_2023_scaled_ridge_1.0_features_included
2023,2023,True,ridge,0.4,False,89.56306002332366,44.72,model_2023_2023_scaled_ridge_0.4_features_included
2023,2023,True,ridge,0.6,False,88.86371846745902,44.37,model_2023_2023_scaled_ridge_0.6_features_included
2014,2023,True,ridge,1.0,False,79.09207463902102,41.55,model_2014_2023_scaled_ridge_1.0_features_included
2014,2023,True,ridge,0.8,False,79.0954021565667,40.14,model_2014_2023_scaled_ridge_0.8_features_included
2014,2023,True,ridge,0.6,False,79.09913419734752,40.14,model_2014_2023_scaled_ridge_0.6_features_included
2014,2023,True,ridge,0.4,False,79.10335351175067,40.14,model_2014_2023_scaled_ridge_0.4_features_included
2014,2023,True,,,False,79.0891218058588,39.79,model_2014_2023_scaled_none__features_included
2014,2023,True,ridge,0.2,False,79.10816832858416,39.79,model_2014_2023_scaled_ridge_0.2_features_included
